Lat,Lon,Time,Line,Brigade
52.147266,21.036205,2024-02-23 23:33:25,N34,261
52.185814,20.997838,2024-02-23 23:33:07,501,6
52.1796465,21.0239389,2024-02-23 23:33:26,217,1
52.196188,20.921551,2024-02-23 23:33:10,136,11
52.196543,20.919993,2024-02-23 23:20:33,191,7
52.196243,20.921318,2024-02-23 23:33:25,191,3
52.197483,20.920478,2024-02-23 17:22:03,317,07
52.197108,20.922216,2024-02-15 14:07:32,717,068
52.19617,20.922286,2024-02-23 21:47:56,136,015
52.195641,20.922363,2024-02-23 23:12:38,401,3
52.1971264,20.9190944,2024-02-23 17:27:40,523,025
52.197308,20.920441,2024-02-23 23:33:24,717,64
52.196041,20.922118,2024-02-23 22:40:31,191,4
52.197277,20.92016,2024-02-23 23:33:24,177,2
52.19648,20.920439,2024-02-23 23:33:24,184,6
52.196146,20.921755,2024-02-23 23:30:27,187,5
52.196199,20.922203,2024-02-23 23:33:08,523,714
52.196233,20.922019,2024-02-23 21:29:38,148,012
52.196274,20.921711,2024-02-23 22:22:54,188,5
52.197178,20.920891,2024-02-23 23:33:24,105,4
52.196373,20.921436,2024-02-23 19:52:58,317,06
52.196043,20.922086,2024-02-23 23:25:17,523,023
52.250333,20.898438,2024-02-23 23:33:13,523,8
52.196309,20.921776,2024-02-23 20:16:04,105,09
52.195741,20.922638,2024-02-23 22:45:36,517,3
52.196105,20.923218,2024-02-23 19:32:05,ZA1,01
52.197183,20.921621,2024-02-23 20:50:46,716,01
52.1960434,20.9222026,2024-02-23 23:33:25,317,07
52.1935641,20.9413644,2024-02-23 23:33:25,317,2
52.196463,20.921108,2024-02-23 19:24:05,184,09
52.195734,20.922563,2024-02-23 22:27:01,401,9
52.1963735,20.9192366,2024-02-23 20:46:59,105,011
52.196271,20.921824,2024-02-23 22:50:41,172,2
52.196251,20.921289,2024-02-23 23:33:10,716,62
52.196714,20.9191,2024-02-23 19:20:23,105,010
52.195663,20.922523,2024-02-23 22:52:55,171,452
52.2197904,20.8970569,2024-02-23 23:33:26,717,068
52.196564,20.920323,2024-02-23 15:58:30,517,4
52.19669,20.92017,2024-02-15 00:59:59,171,4
52.247719,20.965212,2024-02-23 23:33:26,136,5
52.196289,20.921934,2024-02-23 20:03:53,401,012
52.196478,20.921026,2024-02-23 19:09:40,ZA1,03
52.197086,20.922363,2024-02-23 17:27:58,184,6
52.196408,20.920738,2024-02-23 17:20:48,719,010
52.196519,20.920278,2024-02-23 23:33:20,191,2
52.2123859,20.9729109,2024-02-23 23:33:25,136,7
52.158241,20.944847,2024-02-23 23:33:25,124,1
52.196365,20.921479,2024-02-23 19:58:19,401,028
52.1968232,20.9217642,2024-02-23 23:33:25,523,7
52.196398,20.921299,2024-02-23 20:19:44,717,069
52.197463,20.920433,2024-02-23 21:05:34,172,010
52.192051,20.949142,2024-02-23 23:33:25,401,4
